title,company,model,year,price,mileage,color,transmission,location,date_posted,features,detail_link
Fiat Punto 2010,Fiat,Punto,2010,"390,000 EGP","200,000 Km",Blue,N/A,Alexandria,2025-06-03,N/A,https://eg.hatla2ee.com/en/car/fiat/puntu/6987790
Opel Astra 2020,Opel,Astra,2020,"850,000 EGP","75,000 Km",Silver,N/A,6 October,2025-06-03,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/opel/astra/6987783
Volkswagen Golf 3 1992,Volkswagen,Golf,1992,"320,000 EGP",N/A,Blue,N/A,Helwan,2025-06-03,N/A,https://eg.hatla2ee.com/en/car/volks-wagen/Golf-3/6987770
Suzuki Swift 2022,Suzuki,Swift,2022,"720,000 EGP","47,000 Km",Red,N/A,Damietta,2025-06-03,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/suzuki/swift/6985870
Mitsubishi Lancer Puma 2013,Mitsubishi,Lancer,2013,"570,000 EGP","168,000 Km",Red,N/A,El Minya,2025-06-03,N/A,https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-Puma/6987749
Volkswagen Bora 2002,Volkswagen,Bora,2002,"370,000 EGP","250,000 Km",Gray,N/A,Dokki,2025-06-03,Automatic | Remote Control,https://eg.hatla2ee.com/en/car/volks-wagen/bora/6987745
Mercedes C 200 2019,Mercedes,C,2019,"2,100,000 EGP","130,000 Km",Silver,N/A,Nasr city,2025-06-03,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/mercedes/c-200/6987746
Geely Pandino 2013,Geely,Pandino,2013,"290,000 EGP","53,000 Km",Black,N/A,Heliopolis,2025-06-03,Automatic,https://eg.hatla2ee.com/en/car/geely/gelly-pandino/6987744
Ssang Yong Tivoli 2018,Ssang,Yong,2018,"715,000 EGP","188,000 Km",Dark grey,N/A,Maadi,2025-06-03,Automatic | Air Conditioner | Remote Control,https://eg.hatla2ee.com/en/car/ssang-yong/Tivoli/6987719
Chery Tiggo 7 pro 2022,Chery,Tiggo,2022,"1,050,000 EGP","84,000 Km",White,N/A,Cairo,2025-06-03,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/chery/Tiggo-7-pro/6987714
BMW X6 2024,BMW,X6,2024,"7,900,000 EGP","24,000 Km",Black,N/A,Nasr city,2025-06-03,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/bmw/x6/6987713
Mitsubishi Lancer EX Shark 2015,Mitsubishi,Lancer,2015,"650,000 EGP","320,000 Km",Silver,N/A,Sheikh Zayed City,2025-06-03,Automatic,https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-EX-Shark/6987710
Kia Sportage 2020,Kia,Sportage,2020,"1,390,000 EGP","90,000 Km",White,N/A,Mokattam,2025-06-03,N/A,https://eg.hatla2ee.com/en/car/kia/sportage/6985799
Daihatsu Charade 2007,Daihatsu,Charade,2007,"350,000 EGP","120,000 Km",Gold,N/A,Mansoura,2025-06-03,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/daihatsu/charade/6987667
Volkswagen Passat 2016,Volkswagen,Passat,2016,"850,000 EGP","150,000 Km",Silver,N/A,Dokki,2025-06-03,N/A,https://eg.hatla2ee.com/en/car/volks-wagen/passat/6987699
BMW 320 2010,BMW,320,2010,"870,000 EGP","280,000 Km",Silver,N/A,Nasr city,2025-06-03,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/bmw/320/6987680
Mercedes GLA 200 2017,Mercedes,GLA,2017,"1,700,000 EGP","85,000 Km",Silver,N/A,Cairo,2025-06-03,Automatic,https://eg.hatla2ee.com/en/car/mercedes/GLA-200/6985746
Fiat Dogan 1997,Fiat,Dogan,1997,"85,000 EGP",N/A,Green,N/A,Suez,2025-06-03,N/A,https://eg.hatla2ee.com/en/car/fiat/dogan/6987676
Skoda Karoq 2019,Skoda,Karoq,2019,"1,220,000 EGP","177,000 Km",White,N/A,Cairo,2025-06-03,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/skoda/Karoq/6987669
